track_name,artist_name,PCA_1,PCA_2,popularity
Depriety,3ality,0.482,0.81,8
Keep Me in the Light,Nathan Colberg,0.00584,0.606,24
Running Man,LocateEmilio,0.00165,0.7340000000000001,24
Milieu Therapy,Sir Froderick,0.21600000000000005,0.637,2
Oh My Season,VROMANCE,0.461,0.521,19
"Swan Lake Ballet Suite, Op. 20 (Excerpts): Act II, No. 13, Danses des cygnes, V. Pas d'action. Andante - Allegro",Pyotr Ilyich Tchaikovsky,0.899,0.294,20
SOS,stereoGO,0.0045,0.7040000000000001,27
Moped,Richard Koch Quartett,0.522,0.586,0
I Don't Wanna Love You Anymore,LANY,0.322,0.7020000000000001,76
"Did Ya Hear That, Talib Kweli?",The Abrasive Entrepreneur,0.205,0.895,51
Flight,Rich Brian,0.111,0.77,54
Still Doin' it,Surve,0.146,0.6859999999999999,24
On Our Own,Prides,0.00989,0.687,15
Never Say Goodbye,Garrett Douglas,0.00373,0.473,16
"Bang And Blame - Live From The National Bowl, Milton Keynes / 1995",R.E.M.,0.116,0.468,25
"Symphony No. 2 in D Major, Op. 73: I. Allegro non troppo",Johannes Brahms,0.929,0.2,3
Still,AVEC,0.532,0.5720000000000001,61
Delicate - Instrumental,Atmosphere,0.0326,0.7120000000000001,20
Pink Wave Noise,Babysounds,0.147,0.0,0
Secrets,Garcian,0.0011,0.7140000000000001,1
"Prelude & Fugue in G Major, BWV 541",Johann Sebastian Bach,0.862,0.118,8
Fogo dos Nossos Planos,1Kilo,0.4320000000000001,0.716,37
Live Forever,Zak James,0.654,0.488,2
Перекати-поле,Кино,0.0182,0.555,6
Keep One,Pettros,0.0807,0.7040000000000001,10
Dreams vs. Visions,Wesley Cheatham,0.0657,0.452,3
Lord of Tha Fliez,Mike Bars,0.00484,0.7140000000000001,18
Lays,Rilla Force,0.145,0.737,10
I Dont Understand It,StackUpGang,0.6609999999999999,0.8809999999999999,0
Études: No. 15,Philip Glass,0.974,0.226,16
Disarray,Bad Computer,0.187,0.772,39
Miami Nights,DJ Luke Nasty,0.265,0.823,15
Dylan's Dilemma,Ezra Collective,0.994,0.305,29
Holy Town,Azide,0.311,0.7859999999999999,25
Lbrbltrt,Popskyy,0.339,0.388,19
prototype,DRAM,0.8740000000000001,0.488,50
Clutchin,Chief Keef,0.161,0.7440000000000001,41
Confidence,RAYE,0.442,0.635,58
Ill Visions,Spaze Windu,0.161,0.79,14
Triste Canción (feat. Alex Lora & Gerardo Guardia),Rayito Colombiano,0.166,0.6920000000000001,34
Ya'll (Instrumental),Big Beats,0.00393,0.67,0
We On (feat. Border Bucc),Dave East,0.384,0.603,17
Baby by Tonight,Jeff Hyde,0.295,0.861,9
Paranoid,Post Malone,0.0379,0.61,79
Lit,Big Choowy The Don,0.00573,0.737,0
Philadelphia,Dorothy,0.172,0.511,32
Vortex,Image Sounds,0.000202,0.7809999999999999,0
Love Has All Been Done Before,Jade Bird,0.0275,0.327,52
Its Raining Tacos - Trap Versiom,Cardo Grandz,0.333,0.74,31
Rola Cola - Remix,Menor Menor,0.18600000000000005,0.8759999999999999,49
Bitter Fuck (salute remix),Joji,0.752,0.523,47
Tonights Da Night - Instrumental,Erick Sermon,0.007940000000000001,0.434,11
The Ocean,Ocean Waves For Sleep,0.904,0.145,3
"Flute Sonata in E Minor, Op. 1, No. 1a, HWV 379: II. Andante",George Frideric Handel,0.964,0.486,11
